ts in ms,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,z in m
1400,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.602,11.746,1.6
1400,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.947,10.425,1.6
1400,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.945,2.825,1.6
1400,40849,2180,92,Ball,4460903,3,Ball,39.349,9.836,0.209
1400,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.245,19.881,1.6
1400,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.506,9.822,1.6
1400,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.519,10.472,1.6
1450,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.045,13.699,1.6
1450,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.661,11.623,1.6
1450,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.998,10.413,1.6
1450,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.951,2.704,1.6
1450,40849,2180,92,Ball,4460903,3,Ball,39.346,9.822,0.252
1450,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.246,19.853,1.6
1450,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.506,9.849,1.6
1450,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.471,10.448,1.6
1500,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.109,13.677,1.6
1500,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.698,11.494,1.6
1500,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.05,10.402,1.6
1500,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.958,2.583,1.6
1500,40849,2180,92,Ball,4460903,3,Ball,39.373,9.746,0.217
1500,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.248,19.826,1.6
1500,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.506,9.877,1.6
1500,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.422,10.423,1.6
1550,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.169,13.664,1.6
1550,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.733,11.365,1.6
1550,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.101,10.39,1.6
1550,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.964,2.462,1.6
1550,40849,2180,92,Ball,4460903,3,Ball,39.45,9.7,0.111
1550,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.249,19.798,1.6
1550,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.508,9.898,1.6
1550,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.372,10.398,1.6
1600,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.228,13.656,1.6
1600,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.769,11.235,1.6
1600,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.157,10.383,1.6
1600,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.972,2.35,1.6
1600,40849,2180,92,Ball,4460903,3,Ball,39.497,9.687,0.041
1600,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.763,1.6
1600,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.511,9.917,1.6
1600,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.29,10.352,1.6
1650,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.286,13.649,1.6
1650,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.812,11.101,1.6
1650,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.218,10.383,1.6
1650,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.983,2.251,1.6
1650,40849,2180,92,Ball,4460903,3,Ball,39.469,9.678,0.071
1650,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.721,1.6
1650,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.514,9.936,1.6
1650,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.209,10.306,1.6
1700,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.345,13.641,1.6
1700,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.888,10.951,1.6
1700,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.279,10.383,1.6
1700,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.993,2.152,1.6
1700,40849,2180,92,Ball,4460903,3,Ball,39.415,9.683,0.157
1700,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.678,1.6
1700,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.517,9.955,1.6
1700,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.127,10.26,1.6
1750,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.399,13.626,1.6
1750,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.963,10.801,1.6
1750,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.34,10.383,1.6
1750,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,18.004,2.052,1.6
1750,40849,2180,92,Ball,4460903,3,Ball,39.317,9.74,0.219
1750,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.636,1.6
1750,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.523,9.965,1.6
